Checkin Date,2015-08-12,2015-08-12,2015-08-12,2015-08-12,2015-08-13,2015-08-13,2015-08-13,2015-08-13,2015-08-19,2015-08-19,2015-08-19,2015-08-19,2015-08-26,2015-08-26,2015-08-26,2015-08-26,2015-08-27,2015-08-27,2015-08-27,2015-08-27,2015-08-28,2015-08-28,2015-08-28,2015-08-28,2015-09-09,2015-09-09,2015-09-09,2015-09-09,2015-09-10,2015-09-10,2015-09-10,2015-09-10,2015-09-11,2015-09-11,2015-09-11,2015-09-11,2015-09-16,2015-09-16,2015-09-16,2015-09-16,2015-09-17,2015-09-17,2015-09-17,2015-09-17,2015-09-18,2015-09-18,2015-09-18,2015-09-18,2015-09-30,2015-09-30,2015-09-30,2015-09-30,2015-10-01,2015-10-01,2015-10-01,2015-10-01,2015-10-02,2015-10-02,2015-10-02,2015-10-02,2015-10-07,2015-10-07,2015-10-07,2015-10-07,2015-10-14,2015-10-14,2015-10-14,2015-10-14,2015-10-15,2015-10-15,2015-10-15,2015-10-15,2015-10-16,2015-10-16,2015-10-16,2015-10-16,2015-10-21,2015-10-21,2015-10-21,2015-10-21,2015-10-22,2015-10-22,2015-10-22,2015-10-22,2015-10-27,2015-10-27,2015-10-27,2015-10-27,2015-10-28,2015-10-28,2015-10-28,2015-10-28,2015-10-29,2015-10-29,2015-10-29,2015-10-29,2015-10-30,2015-10-30,2015-10-30,2015-10-30,2015-11-03,2015-11-03,2015-11-03,2015-11-03,2015-11-04,2015-11-04,2015-11-04,2015-11-04,2015-11-05,2015-11-05,2015-11-05,2015-11-05,2015-11-06,2015-11-06,2015-11-06,2015-11-06,2015-11-07,2015-11-07,2015-11-07,2015-11-07,2015-11-10,2015-11-10,2015-11-10,2015-11-10,2015-11-11,2015-11-11,2015-11-11,2015-11-11,2015-11-12,2015-11-12,2015-11-12,2015-11-12,2015-11-13,2015-11-13,2015-11-13,2015-11-13,2015-11-18,2015-11-18,2015-11-18,2015-11-18,2015-11-21,2015-11-21,2015-11-21,2015-11-21,2015-11-25,2015-11-25,2015-11-25,2015-11-25,2015-11-26,2015-11-26,2015-11-26,2015-11-26,2015-11-27,2015-11-27,2015-11-27,2015-11-27,2015-11-28,2015-11-28,2015-11-28,2015-11-28
Hampton Inn Manhattan Soho,29.545454545454547,37.87878787878789,47.727272727272734,46.21212121212122,-1.0,-1.0,33.33333333333334,-1.0,-1.0,28.03030303030303,53.03030303030303,53.787878787878796,23.484848484848484,31.060606060606062,61.363636363636374,-1.0,-1.0,-1.0,14.393939393939391,15.909090909090907,-1.0,16.515151515151516,20.60606060606061,35.60606060606061,57.57575757575758,60.60606060606061,-1.0,66.66666666666667,53.03030303030303,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81.06060606060608,-1.0,-1.0,-1.0,81.06060606060608,-1.0,-1.0,-1.0,-1.0,55.30303030303031,63.03030303030303,-1.0,88.63636363636364,65.90909090909092,62.87878787878789,71.2121212121212,49.24242424242425,53.71212121212122,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.00000000000001,-1.0,-1.0,73.48484848484848,81.06060606060608,76.51515151515152,79.54545454545455,-1.0,50.757575757575765,73.48484848484848,-1.0,-1.0,-1.0,-1.0,43.18181818181819,-1.0,44.6969696969697,50.757575757575765,76.51515151515152,47.727272727272734,71.96969696969698,73.48484848484848,44.6969696969697,41.66666666666667,63.63636363636364,-1.0,46.21212121212122,43.18181818181819,-1.0,44.6969696969697,35.60606060606061,50.0,-1.0,35.60606060606061,31.060606060606062,-1.0,40.151515151515156,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.545454545454547,73.48484848484848,28.03030303030303,-1.0,-1.0,-1.0,24.24242424242425,24.24242424242425,40.90909090909091,34.09090909090909,-1.0,-1.0,-1.0,-1.0,37.121212121212125,47.727272727272734,23.484848484848484,21.96969696969697,25.0,-1.0,43.93939393939394,20.454545454545453,13.63636363636364,16.66666666666667,-1.0,28.03030303030303,28.787878787878796,-1.0,32.57575757575758,37.87878787878789,36.363636363636374,37.87878787878789,1.5151515151515156,0.0,2.2727272727272734,8.333333333333343,-1.0,-1.0,22.121212121212125,-1.0,-1.0,18.939393939393938,21.212121212121218,-1.0,39.39393939393939,32.57575757575758,30.30303030303031,25.757575757575765,-1.0,41.66666666666667,39.39393939393939,-1.0
Hampton Inn Manhattan Times Square Central,34.400406504065046,28.201219512195124,-1.0,-1.0,19.41056910569106,15.142276422764233,12.245934959349597,8.79065040650407,-1.0,28.201219512195124,35.365853658536594,-1.0,60.8739837398374,-1.0,18.089430894308947,39.024390243902445,39.53252032520325,-1.0,3.353658536585371,39.48170731707317,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.796747967479675,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.3170731707317,-1.0,88.82113821138212,100.00000000000001,55.28455284552845,43.08943089430895,35.0609756097561,35.51829268292683,57.3170731707317,73.57723577235772,32.8760162601626,-1.0,-1.0,-1.0,-1.0,-1.0,44.3089430894309,48.170731707317074,50.05081300813008,45.88414634146342,-1.0,28.91260162601627,19.96951219512195,26.21951219512195,49.1869918699187,16.209349593495936,28.91260162601627,34.857723577235774,-1.0,28.91260162601627,49.898373983739845,29.115853658536594,31.148373983739845,30.4369918699187,23.119918699186996,30.640243902439025,49.69512195121952,51.57520325203252,49.69512195121952,-1.0,62.7540650406504,51.57520325203252,-1.0,46.798780487804876,-1.0,44.61382113821138,-1.0,-1.0,54.369918699187,-1.0,-1.0,-1.0,-1.0,-1.0,28.76016260162602,-1.0,22.25609756097561,22.306910569105696,-1.0,24.03455284552846,-1.0,-1.0,19.461382113821138,-1.0,-1.0,19.715447154471548,-1.0,-1.0,-1.0,19.715447154471548,21.493902439024396,-1.0,-1.0,-1.0,45.630081300813,45.630081300813,-1.0,38.00813008130082,38.00813008130082,19.5630081300813,-1.0,-1.0,18.546747967479675,24.491869918699187,-1.0,-1.0,-1.0,-1.0,19.207317073170735,-1.0,-1.0,20.426829268292686,-1.0,1.8800813008130106,15.04065040650407,4.573170731707322,41.107723577235774,-1.0,-1.0,37.09349593495935,43.140243902439025,-1.0,18.546747967479675,-1.0,-1.0,37.44918699186992,31.554878048780495,-1.0,26.067073170731703,20.274390243902438,22.51016260162602,46.443089430894304
Hampton Inn Manhattan Times Square South,9.14076782449726,-1.0,17.733089579524687,38.482632541133455,13.89396709323583,12.248628884826331,9.96343692870201,7.404021937842785,6.581352833638022,12.065813528336378,7.129798903107869,16.179159049360152,3.747714808043881,3.747714808043881,5.393053016453379,7.129798903107869,-1.0,-1.0,-1.0,-1.0,-1.0,5.393053016453379,0.0,0.8226691042047491,100.0,-1.0,-1.0,-1.0,52.742230347349164,67.91590493601461,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76.691042047532,-1.0,63.98537477148079,-1.0,-1.0,62.340036563071294,64.07678244972578,-1.0,-1.0,60.60329067641683,77.51371115173674,68.92138939670932,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.870201096892146,-1.0,-1.0,-1.0,-1.0,84.73491773308959,90.58500914076782,50.82266910420475,45.52102376599635,50.639853747714795,52.46800731261425,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.57769652650822,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.886654478976226,40.58500914076782,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.378427787934186,21.57221206581353,21.846435100548447,23.400365630712983,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.303473491773303,25.137111517367458,26.416819012797077,-1.0,-1.0,20.93235831809872,-1.0,12.340036563071294,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.458866544789757,17.458866544789757,17.458866544789757,20.201096892138935
Hampton Inn Manhattan United Nations,13.185287994448295,15.267175572519086,17.349063150589863,58.015267175572525,-1.0,17.349063150589863,44.066620402498266,14.781401804302568,21.79042331714087,21.79042331714087,21.096460791117273,34.351145038167935,12.491325468424698,19.430950728660655,22.414989590562108,26.370575988896597,-1.0,-1.0,22.761970853573906,-1.0,-1.0,-1.0,-1.0,-1.0,81.81818181818181,78.48716169326855,89.0353920888272,-1.0,54.129077029840396,49.27133934767523,44.413601665510065,34.0735600277585,56.90492713393477,52.047189451769604,38.445523941707144,-1.0,-1.0,-1.0,-1.0,-1.0,61.554476058292856,46.5648854961832,37.82095766828591,38.445523941707144,58.43164469118667,37.82095766828591,39.07009021512838,54.059680777238036,-1.0,-1.0,100.0,-1.0,-1.0,54.82303955586398,37.47397640527412,28.45246356696739,58.292852185981964,52.7411519777932,34.698126301179734,68.70229007633588,86.74531575294932,91.6030534351145,-1.0,-1.0,42.33171408743927,30.534351145038165,37.47397640527412,37.47397640527412,-1.0,-1.0,54.129077029840396,-1.0,61.762664816099935,68.70229007633588,72.17210270645384,86.74531575294932,51.35322692574601,63.84455239417071,74.25399028452463,53.4351145038168,-1.0,-1.0,49.54892435808467,52.047189451769604,74.25399028452463,64.5385149201943,73.56002775850104,-1.0,45.80152671755726,43.71963913948647,45.80152671755726,48.57737682165163,40.94378903539209,52.7411519777932,47.883414295628036,35.39208882720333,47.18945176960444,48.57737682165163,36.08605135322693,40.249826509368496,-1.0,-1.0,46.49548924358084,-1.0,27.064538514920194,29.84038861901457,33.31020124913254,-1.0,-1.0,28.45246356696739,30.534351145038165,24.982650936849403,42.33171408743927,27.75850104094379,29.84038861901457,31.158917418459403,49.27133934767523,48.57737682165163,-1.0,-1.0,34.00416377515614,45.10756419153366,47.883414295628036,-1.0,17.9736294240111,31.228313671061763,26.370575988896597,22.20680083275503,-1.0,-1.0,23.039555863983345,20.818875780707835,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,19.153365718251216,21.51283830673143,23.108952116585705,27.064538514920194,29.007633587786266,-1.0,33.032616238723115,-1.0,30.395558639833446,21.374045801526712,-1.0,-1.0,34.90631505898681,-1.0,56.07217210270645,45.31575294934074,58.084663428174885,65.16308119361554
Hampton Inn Manhattan-Seaport-Financial District,-1.0,-1.0,-1.0,-1.0,44.10354745925216,38.9261744966443,37.20038350910834,27.229146692233947,-1.0,29.721955896452535,31.63950143815915,-1.0,-1.0,29.43432406519654,43.14477468839885,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,24.928092042186,20.13422818791947,21.188878235858105,-1.0,78.61936720997124,-1.0,-1.0,-1.0,88.68648130393098,-1.0,-1.0,98.7535953978907,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.35858101629915,86.00191754554172,78.23585810162993,-1.0,-1.0,77.94822627037394,79.86577181208054,92.32981783317354,89.45349952061363,92.32981783317354,95.20613614573347,-1.0,63.5666347075743,66.44295302013424,62.607861936721,75.071907957814,100.0,97.1236816874401,90.41227229146693,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,84.08437200383511,95.11025886864815,-1.0,96.06903163950145,97.21955896452542,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.40172579098754,80.82454458293387,-1.0,-1.0,62.607861936721,57.813998082454454,-1.0,71.23681687440077,63.5666347075743,-1.0,-1.0,-1.0,52.63662511984659,55.22531160115053,-1.0,43.14477468839885,45.733461169702785,62.991371045062316,63.854266538830295,-1.0,53.97890699904122,-1.0,-1.0,54.36241610738255,44.00767018216683,43.14477468839885,40.55608820709492,49.18504314477469,48.32214765100671,45.733461169702785,-1.0,50.04793863854267,42.28187919463087,44.870565675934806,47.45925215723873,35.37871524448706,37.967401725790985,60.78619367209972,-1.0,56.85522531160115,51.29434324065196,36.4333652924257,36.4333652924257,47.45925215723873,42.28187919463087,41.4189837008629,37.967401725790985,32.21476510067114,44.00767018216683,49.18504314477469,-1.0,-1.0,15.340364333652921,25.023969319271337,16.011505273250243,-1.0,-1.0,33.6529242569511,-1.0,35.37871524448706,-1.0,-1.0,47.45925215723873,-1.0,41.994247363374875,40.651965484180245,21.76414189837009,-1.0,56.3758389261745,52.444870565675934,48.418024928092045
Hampton Inn New York - 35th Street - Empire State Building,-1.0,25.32617037605526,25.32617037605526,-1.0,-1.0,26.093630084420568,26.093630084420568,21.94934765924789,-1.0,-1.0,34.91941673062165,-1.0,-1.0,-1.0,-1.0,11.742133537989261,-1.0,-1.0,7.904834996162705,-1.0,-1.0,13.737528779739065,-1.0,-1.0,43.438219493476595,-1.0,-1.0,40.521872601688415,-1.0,23.330775134305455,30.39140445126631,-1.0,-1.0,64.6968534151957,47.04528012279356,55.487336914811976,78.51112816577131,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.25249424405219,58.63392171910975,-1.0,-1.0,67.1527244819647,63.852647735993855,-1.0,-1.0,-1.0,-1.0,64.6968534151957,-1.0,-1.0,-1.0,-1.0,93.01611665387568,91.25095932463546,94.93476592478896,82.4251726784344,-1.0,53.338449731389105,56.48503453568688,56.254796623177285,51.65003837298542,56.254796623177285,-1.0,-1.0,48.88718342287031,42.287029930928625,36.60782808902533,35.14965464313124,67.3829623944743,68.8411358403684,62.31772831926324,64.6968534151957,-1.0,-1.0,-1.0,-1.0,78.2808902532617,62.54796623177283,69.8388334612433,69.1481197237145,57.48273215656178,61.16653875671527,61.16653875671527,74.2900997697621,-1.0,-1.0,-1.0,-1.0,54.029163468917886,40.36838066001535,37.605525709900235,43.36147352264007,-1.0,34.84267075978512,37.06830391404452,-1.0,22.870299309286267,23.56101304681505,25.786646201074447,27.93553338449732,38.52647735993861,33.231005372217965,25.479662317728327,17.037605525709907,34.382194934765934,32.00306983883347,23.56101304681505,22.10283960092096,-1.0,29.39370683039141,-1.0,-1.0,-1.0,33.921719109746746,-1.0,-1.0,-1.0,28.396009209516507,-1.0,16.346891788181125,25.01918649270914,26.400613967766702,6.216423637759021,17.958557175748282,24.25172678434383,23.40752110514198,23.40752110514198,11.3584036838066,11.972371450498855,8.979278587874148,23.791250959324643,29.24021488871834,-1.0,4.834996162701458,5.141980046047593,0.0,22.333077513430553,-1.0,18.265541059094403,17.57482732156562,-1.0,14.658480429777441,10.974673829623953,20.18419033000768,-1.0,18.41903300076747,8.672294704528014,10.744435917114359,-1.0,43.054489639293934,34.30544896392939,35.61013046815043
Hampton Inn New York - LaGuardia Airport,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Hampton Inn New York Chelsea,-1.0,-1.0,-1.0,-1.0,-1.0,33.526490066225165,31.374172185430467,26.572847682119217,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,84.27152317880795,-1.0,-1.0,-1.0,-1.0,79.22185430463578,94.45364238410598,84.18874172185433,87.99668874172185,-1.0,-1.0,-1.0,-1.0,100.00000000000001,90.06622516556293,83.02980132450331,79.05629139072848,89.07284768211922,67.96357615894041,67.30132450331126,62.25165562913908,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.80463576158941,96.35761589403974,76.82119205298015,71.93708609271525,67.63245033112584,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.8907284768212,74.08940397350995,-1.0,71.8543046357616,81.62251655629139,68.62582781456955,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,71.93708609271525,70.36423841059603,60.01655629139074,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.31456953642385,-1.0,-1.0,75.41390728476823,75.82781456953644,43.29470198675497,44.37086092715232,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.12582781456955,52.649006622516566,-1.0,42.384105960264904,57.367549668874176,-1.0,50.000000000000014,59.60264900662253,-1.0,-1.0,-1.0,-1.0,63.90728476821192,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.40397350993378,34.519867549668874,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8278145695364287,0.8278145695364287,0.8278145695364287,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.29801324503312,-1.0,-1.0,36.17549668874173,43.95695364238411,-1.0,50.413907284768214,-1.0,-1.0
Hampton Inn Times Square North,14.674361088211043,-1.0,-1.0,29.018961253091504,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.254740313272876,-1.0,-1.0,-1.0,-1.0,-1.0,3.46248969497114,-1.0,-1.0,99.99999999999999,-1.0,-1.0,-1.0,-1.0,50.45342126957955,53.7510305028854,-1.0,52.926628194558944,49.62901896125308,-1.0,-1.0,73.94888705688375,-1.0,65.37510305028853,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.62901896125308,-1.0,62.572135201978554,63.643858202802974,59.52184666117064,-1.0,52.926628194558944,51.277823577906005,30.66776586974443,29.018961253091504,-1.0,40.56059356966199,38.911788953009065,52.102225886232475,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.926628194558944,-1.0,-1.0,-1.0,-1.0,17.394888705688373,-1.0,-1.0,-1.0,-1.0,66.11706512778234,52.5144270403957,-1.0,-1.0,-1.0,-1.0,-1.0,47.56801319043693,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.774938169826868,21.434460016488046,-1.0,-1.0,18.466611706512765,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.8136850783182155,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Hilton Garden Inn New York Central Park South-Midtown West,11.49425287356322,24.597701149425284,15.325670498084285,24.36781609195402,-1.0,19.463601532567047,19.463601532567047,13.333333333333336,18.9272030651341,14.02298850574713,11.187739463601524,18.160919540229877,41.22605363984673,1.3793103448275872,18.773946360153253,8.352490421455933,-1.0,-1.0,26.973180076628346,0.0,-1.0,29.348659003831408,6.4367816091954,-1.0,64.90421455938696,78.85057471264366,-1.0,-1.0,-1.0,48.04597701149425,57.011494252873554,-1.0,73.18007662835248,66.74329501915707,-1.0,-1.0,99.99999999999997,-1.0,88.6590038314176,92.79693486590037,-1.0,74.48275862068965,51.34099616858237,64.90421455938696,54.94252873563217,51.87739463601532,42.68199233716475,52.56704980842911,88.88888888888889,55.4022988505747,51.64750957854405,51.64750957854405,61.30268199233716,59.540229885057464,54.17624521072796,53.02681992337164,-1.0,28.88888888888888,52.490421455938694,68.50574712643677,-1.0,65.51724137931035,91.72413793103448,63.44827586206896,51.87739463601532,65.67049808429118,54.40613026819923,51.64750957854405,63.29501915708811,58.77394636015325,60.383141762452105,43.83141762452107,-1.0,49.11877394636014,-1.0,-1.0,57.93103448275861,61.37931034482758,64.82758620689654,58.77394636015325,-1.0,44.980842911877396,-1.0,50.11494252873563,-1.0,-1.0,77.31800766283524,-1.0,60.15325670498084,43.44827586206896,-1.0,78.08429118773944,54.25287356321838,-1.0,47.892720306513404,55.47892720306513,-1.0,44.75095785440613,46.8199233716475,-1.0,-1.0,-1.0,-1.0,-1.0,38.46743295019157,39.080459770114935,41.83908045977011,25.823754789272023,49.42528735632184,51.494252873563205,47.892720306513404,33.40996168582375,-1.0,41.76245210727969,28.199233716475085,-1.0,39.923371647509576,44.21455938697317,-1.0,-1.0,-1.0,48.50574712643678,-1.0,-1.0,30.19157088122605,37.088122605363985,43.98467432950191,16.01532567049808,-1.0,-1.0,-1.0,-1.0,34.25287356321838,33.9463601532567,28.199233716475085,-1.0,46.206896551724135,-1.0,27.892720306513404,57.93103448275861,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.08429118773946,-1.0,-1.0,29.118773946360143,5.517241379310342,-1.0,29.042145593869726,23.831417624521073,17.31800766283525,-1.0,-1.0,-1.0,-1.0
Hilton Garden Inn New York Long Island City,19.86644407345576,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.926544240400666,-1.0,-1.0,-1.0,8.597662771285478,-1.0,-1.0,20.200333889816356,-1.0,11.602671118530886,11.769616026711184,6.3439065108514185,-1.0,-1.0,16.694490818030054,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.80300500834725,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76.79465776293824,-1.0,-1.0,94.07345575959931,-1.0,-1.0,-1.0,-1.0,-1.0,69.36560934891486,89.7328881469115,100.0,-1.0,-1.0,44.15692821368949,-1.0,41.56928213689482,29.38230383973289,26.377295492487484,33.055091819699506,-1.0,27.62938230383974,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,71.03505843071787,74.04006677796326,-1.0,-1.0,33.97328881469115,-1.0,33.055091819699506,-1.0,60.01669449081803,-1.0,-1.0,-1.0,57.09515859766277,64.2737896494157,63.18864774624374,36.97829716193656,37.89649415692822,-1.0,34.390651085141904,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.280467445742907,18.864774624373958,29.54924874791319,13.10517529215359,16.360601001669444,16.861435726210352,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.016694490818033,12.43739565943239,13.10517529215359,-1.0,-1.0,-1.0,29.38230383973289,0.08347245409014903,0.08347245409014903,-1.0,-1.0,0.0,1.2520868113522567,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.609348914858096,16.861435726210352,12.353923205342241,9.181969949916528,-1.0,25.37562604340568,22.787979966611026,21.118530884808017
Hilton Garden Inn New York Manhattan-Chelsea,-1.0,31.42717497556207,-1.0,17.057673509286413,-1.0,-1.0,-1.0,-1.0,17.54643206256109,16.86217008797654,15.249266862170085,16.275659824046922,-1.0,16.177908113391982,-1.0,14.662756598240467,-1.0,-1.0,7.722385141739981,11.827956989247316,24.731182795698924,7.331378299120235,8.162267839687193,-1.0,-1.0,54.10557184750732,50.684261974584544,-1.0,-1.0,68.96383186705766,38.367546432062554,-1.0,49.70674486803519,44.81915933528836,49.12023460410556,51.17302052785924,80.59628543499511,72.77614858260019,79.61876832844574,-1.0,51.857282502443795,56.25610948191593,60.654936461388075,-1.0,59.57966764418377,34.75073313782991,39.58944281524926,-1.0,-1.0,-1.0,43.841642228739005,44.47702834799608,-1.0,-1.0,-1.0,-1.0,63.24535679374388,56.744868035190606,-1.0,-1.0,99.99999999999999,-1.0,90.42033235581621,69.35483870967741,-1.0,47.11632453567937,45.747800586510266,47.26295210166178,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.59726295210166,45.747800586510266,47.26295210166178,-1.0,37.63440860215053,41.88660801564026,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.445747800586513,-1.0,-1.0,-1.0,-1.0,49.413489736070375,52.54154447702834,35.72825024437927,33.382209188660795,33.87096774193549,35.288367546432056,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.896383186705766,24.144672531769306,-1.0,20.283479960899317,17.595307917888565,32.99120234604105,27.90811339198436,16.568914956011728,16.226783968719456,16.129032258064516,-1.0,15.542521994134898,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.4887585532746819,1.5640273704789855,-1.0,-1.0,31.720430107526884,18.817204301075268,21.8475073313783,33.67546432062561,-1.0,-1.0,41.78885630498533,38.41642228739002,37.3900293255132,37.878787878787875,-1.0,-1.0,-1.0,-1.0
