,features,label
103,"[3.0,735816.0,735821.0,5.0,63.0]",1.0
104,"[2.0,735830.0,735859.0,29.0,1.0]",1.0
105,"[1.0,735856.0,735879.0,23.0,4.0]",0.0
106,"[5.0,735897.0,735904.0,7.0,59.0]",2.0
107,"[4.0,735831.0,735832.0,1.0,19.0]",3.0
108,"[0.0,735848.0,735850.0,2.0,2.0]",0.0
109,"[5.0,735908.0,735932.0,24.0,118.0]",0.0
110,"[5.0,735885.0,735904.0,19.0,36.0]",2.0
111,"[2.0,735959.0,735992.0,33.0,8.0]",3.0
112,"[3.0,735808.0,735835.0,27.0,25.0]",2.0
113,"[6.0,735890.0,735924.0,34.0,19.0]",0.0
114,"[4.0,735908.0,735909.0,1.0,332.0]",0.0
115,"[1.0,735892.0,735914.0,22.0,50.0]",2.0
116,"[5.0,735818.0,735820.0,2.0,3.0]",2.0
117,"[3.0,735904.0,735905.0,1.0,26.0]",2.0
118,"[6.0,735832.0,735840.0,8.0,61.0]",0.0
119,"[4.0,735852.0,735867.0,15.0,66.0]",0.0
120,"[1.0,735837.0,735858.0,21.0,4.0]",1.0
121,"[5.0,735873.0,735904.0,31.0,234.0]",2.0
122,"[5.0,735931.0,735946.0,15.0,140.0]",3.0
123,"[0.0,735851.0,735864.0,13.0,106.0]",3.0
124,"[0.0,735864.0,735878.0,14.0,3.0]",2.0
125,"[1.0,735905.0,735914.0,9.0,23.0]",0.0
126,"[6.0,735865.0,735889.0,24.0,21.0]",2.0
127,"[5.0,735891.0,735925.0,34.0,37.0]",3.0
128,"[3.0,735841.0,735863.0,22.0,11.0]",1.0
129,"[1.0,735923.0,735928.0,5.0,172.0]",1.0
130,"[3.0,735866.0,735870.0,4.0,84.0]",0.0
131,"[2.0,735862.0,735894.0,32.0,22.0]",2.0
132,"[2.0,735888.0,735922.0,34.0,21.0]",1.0
133,"[2.0,735903.0,735922.0,19.0,20.0]",3.0
134,"[5.0,735828.0,735855.0,27.0,12.0]",0.0
135,"[6.0,735910.0,735924.0,14.0,69.0]",1.0
136,"[0.0,735864.0,735885.0,21.0,19.0]",3.0
137,"[1.0,735903.0,735914.0,11.0,141.0]",0.0
138,"[6.0,735882.0,735903.0,21.0,117.0]",0.0
139,"[1.0,735802.0,735823.0,21.0,11.0]",0.0
140,"[1.0,735854.0,735858.0,4.0,64.0]",2.0
141,"[4.0,735803.0,735825.0,22.0,116.0]",0.0
142,"[5.0,735822.0,735827.0,5.0,54.0]",0.0
143,"[3.0,735800.0,735807.0,7.0,26.0]",2.0
